image_name,label,noisy_label
1801019306_1542533000.jpg,13,13
1850927850_668152000.jpg,3,1
2026196786_3947897000.jpg,0,5
2271882818_3909842000.jpg,7,7
2327570466_3027662000.jpg,3,3
2420463905_4137161000.jpg,3,0
3285676668_3203442000.jpg,12,13
3343073138_2816619000.jpg,6,6
3384774047_3838778000.jpg,3,3
358037283_1079407000.jpg,3,3
4125262432_4178871000.jpg,9,9
4274494980_307965000.jpg,0,0
621752951_3673337000.jpg,1,1
74385214_683650000.jpg,11,11
861944912_2651560000.jpg,4,0
995191372_897162000.jpg,8,8
1097039839_2321179001.jpg,13,13
1224970287_2190540001.jpg,6,6
1454713050_3442024001.jpg,5,5
1623039443_1117607001.jpg,13,13
1730293651_492750001.jpg,10,10
1947665313_2672021001.jpg,8,8
209502610_1341998001.jpg,12,11
2231769714_406456001.jpg,5,2
2308708349_2318974001.jpg,9,9
2367588194_4194263001.jpg,10,10
2456489158_3555828001.jpg,11,11
2474920696_2261529001.jpg,11,2
2742347022_3332233001.jpg,8,12
2810427867_2510544001.jpg,9,6
3016355575_1385145001.jpg,5,12
3143502912_670343001.jpg,5,12
3255742779_2450798001.jpg,4,4
3286019634_326678001.jpg,8,6
3319948967_180024001.jpg,10,10
3693940275_923440001.jpg,0,0
385109155_3880591001.jpg,1,1
3868483345_3623143001.jpg,8,8
4116425668_1439547001.jpg,10,10
4122821628_623109001.jpg,4,11
494437449_4269956001.jpg,13,13
643344873_1278316001.jpg,13,13
724742546_4137814001.jpg,12,11
778413864_3245096001.jpg,13,13
1356022067_2937002.jpg,7,7
1378818752_1269141002.jpg,11,11
1543636288_1726778002.jpg,10,2
1629502668_1844795002.jpg,8,8
1638684155_978408002.jpg,8,7
2039099360_3395291002.jpg,0,5
2244869268_3902963002.jpg,12,11
23108239_1777422002.jpg,10,10
236373_522834002.jpg,1,1
2806622771_3020135002.jpg,10,10
2920028779_2638699002.jpg,12,12
3006028225_2027354002.jpg,9,6
3019077828_2579862002.jpg,5,5
3343673554_740157002.jpg,8,8
3361151257_2264667002.jpg,10,10
3443030304_2157577002.jpg,1,1
3640174378_2574218002.jpg,9,9
37961580_2787637002.jpg,9,9
3868000434_2077364002.jpg,1,1
3985447969_845835002.jpg,9,5
4065787164_2058602002.jpg,4,2
421767647_1693810002.jpg,9,9
66461094_446980002.jpg,6,8
777216276_3338314002.jpg,8,8
956543218_3027199002.jpg,3,3
1084191078_1716677003.jpg,13,13
1274630938_2011585003.jpg,11,3
1288260309_1457002003.jpg,9,9
1362363_3910309003.jpg,9,9
1527472913_411328003.jpg,10,10
1592979827_2695592003.jpg,11,2
169166554_1888341003.jpg,12,11
1824447322_3583845003.jpg,13,13
1828012724_2375856003.jpg,8,8
2155189314_140963003.jpg,13,13
2359960615_2405464003.jpg,10,10
2384615193_2580901003.jpg,4,1
2797267684_2215230003.jpg,3,1
3209051918_43856003.jpg,11,3
3351923448_3546255003.jpg,1,1
3438383298_4090025003.jpg,4,4
3821522863_4076819003.jpg,4,2
4078135321_2671413003.jpg,6,9
537982257_830717003.jpg,3,0
548226944_1878756003.jpg,0,0
558128437_2276691003.jpg,7,6
670898073_2317983003.jpg,13,13
715070416_746405003.jpg,10,10
992812165_1641715003.jpg,12,13
1294590691_1533227004.jpg,10,10
1349039165_2617893004.jpg,3,3
1389026815_2156181004.jpg,11,11
147521077_3637828004.jpg,11,11
2004225987_3849941004.jpg,4,2
2007250392_2122762004.jpg,8,5
2008104504_2868954004.jpg,9,9
2048251678_514982004.jpg,3,1
2071982207_1319108004.jpg,11,11
2216105158_1524659004.jpg,0,0
2224633198_1863333004.jpg,10,10
2303634708_178687004.jpg,9,0
2313673161_1746876004.jpg,8,8
2448639386_3597308004.jpg,5,1
2565931815_2549844004.jpg,10,10
2642884342_2114583004.jpg,4,0
2717968196_3140302004.jpg,5,5
2894847959_3400282004.jpg,11,11
295283790_1091830004.jpg,3,11
324208704_3091383004.jpg,13,1
3448210536_4092249004.jpg,10,3
3448903589_2081101004.jpg,10,10
3535646949_2566869004.jpg,10,10
3572186125_3762677004.jpg,12,0
3618146163_831378004.jpg,11,2
3848383933_3667476004.jpg,9,6
3899295199_65893004.jpg,0,4
39234599_3027257004.jpg,2,4
545924067_728509004.jpg,13,12
634771630_2514517004.jpg,8,13
106742655_4016800005.jpg,1,1
1144533863_2456891005.jpg,9,9
133913273_1777055005.jpg,0,5
134012507_4137764005.jpg,10,10
1398721448_2847757005.jpg,10,2
1411497748_2196351005.jpg,13,5
1448651223_2378726005.jpg,3,1
2088604239_3776237005.jpg,1,1
2277738276_1721747005.jpg,13,13
2737469384_3561378005.jpg,13,13
2754036129_1683951005.jpg,9,9
2885355061_2588530005.jpg,4,11
2993344693_1363522005.jpg,13,13
30104564_4213109005.jpg,1,1
3271141254_1722484005.jpg,2,11
3611718320_3563980005.jpg,2,2
3675063118_668487005.jpg,13,13
3691266000_3532778005.jpg,13,13
3709075451_713410005.jpg,2,0
3825616141_3022173005.jpg,10,10
3849679620_3385610005.jpg,3,3
4037199631_1860496005.jpg,13,13
4289729_1383249005.jpg,3,1
576674411_3157358005.jpg,13,0
685527225_816157005.jpg,4,2
967762900_1906171005.jpg,0,0
1349156381_3320750006.jpg,13,13
1561587124_989911006.jpg,1,0
1586351242_951889006.jpg,9,7
1666922980_3020919006.jpg,1,1
2303516284_3387945006.jpg,8,8
2407534735_3556257006.jpg,3,3
2450820331_1284815006.jpg,5,2
2571387188_2345856006.jpg,5,5
2593666628_2768319006.jpg,9,9
2616704959_1882277006.jpg,13,13
2652352856_223454006.jpg,1,1
3054196285_1147695006.jpg,2,2
3085869337_2090615006.jpg,13,11
3336148096_1127683006.jpg,7,7
3344672084_1171834006.jpg,5,5
3398315896_3516787006.jpg,6,6
34352213_3269092006.jpg,7,6
